datetime,open,high,low,close,volume
2022-01-20 21:00:00,27800,27825,27760,27820,24542
2022-01-20 22:00:00,27825,27850,27800,27835,28155
2022-01-20 23:00:00,27835,27860,27790,27850,47403
2022-01-21 00:00:00,27855,27910,27770,27900,49232
2022-01-21 01:00:00,27905,27930,27865,27900,23793
2022-01-21 02:00:00,27900,27945,27885,27885,13906
2022-01-21 03:00:00,27890,27890,27830,27840,18088
2022-01-21 04:00:00,27840,27915,27730,27750,25934
2022-01-21 05:00:00,27750,27765,27485,27490,31064
2022-01-21 06:00:00,27510,27510,27510,27510,2070
2022-01-21 08:00:00,27340,27370,27235,27265,43446
2022-01-21 09:00:00,27265,27320,27105,27255,216086
2022-01-21 10:00:00,27255,27400,27150,27320,151890
2022-01-21 11:00:00,27315,27420,27210,27275,103537
2022-01-21 12:00:00,27280,27325,27170,27300,76482
2022-01-21 13:00:00,27305,27395,27285,27330,83284
2022-01-21 14:00:00,27330,27565,27310,27505,110185
2022-01-21 15:00:00,27505,27520,27470,27520,21368
2022-01-21 16:00:00,27800,27865,27740,27745,29246
2022-01-21 17:00:00,27745,27775,27640,27715,60070
2022-01-21 18:00:00,27715,27730,27600,27670,41303
2022-01-21 19:00:00,27670,27725,27665,27715,17666
2022-01-21 20:00:00,27715,27785,27715,27750,23566
2022-01-21 21:00:00,27750,27760,27695,27735,15301
2022-01-21 22:00:00,27730,27765,27710,27745,18605
2022-01-21 23:00:00,27745,27860,27725,27855,40411
2022-01-24 00:00:00,27495,27580,27340,27530,131904
2022-01-24 01:00:00,27530,27615,27435,27480,74252
2022-01-24 02:00:00,27480,27500,27400,27430,52239
2022-01-24 03:00:00,27430,27495,27380,27430,37536
2022-01-24 04:00:00,27430,27470,27325,27335,34606
2022-01-24 05:00:00,27335,27350,27240,27250,32217
2022-01-24 06:00:00,27220,27220,27220,27220,3086
2022-01-24 08:00:00,27280,27295,27160,27215,43852
2022-01-24 09:00:00,27215,27365,27175,27215,175676
2022-01-24 10:00:00,27215,27405,27190,27370,112485
2022-01-24 11:00:00,27375,27400,27295,27300,50408
2022-01-24 12:00:00,27300,27475,27290,27420,63208
2022-01-24 13:00:00,27420,27515,27420,27480,47448
2022-01-24 14:00:00,27480,27610,27470,27555,88768
2022-01-24 15:00:00,27555,27575,27490,27575,27590
2022-01-24 16:00:00,27580,27630,27580,27610,24473
2022-01-24 17:00:00,27610,27670,27530,27635,66703
2022-01-24 18:00:00,27635,27670,27585,27650,25931
2022-01-24 19:00:00,27650,27685,27625,27660,20946
2022-01-24 20:00:00,27660,27660,27565,27595,29156
2022-01-24 21:00:00,27595,27600,27510,27540,32054
2022-01-24 22:00:00,27540,27575,27515,27530,26144
2022-01-24 23:00:00,27530,27610,27455,27495,91318
2022-01-25 00:00:00,27095,27200,26940,27115,172183
2022-01-25 01:00:00,27115,27125,26785,26910,129616
2022-01-25 02:00:00,26910,26910,26685,26885,106712
2022-01-25 03:00:00,26880,27020,26835,27010,73856
2022-01-25 04:00:00,27015,27070,26750,26940,91330
2022-01-25 05:00:00,26940,27300,26930,27265,57567
2022-01-25 06:00:00,27280,27280,27280,27280,2132
2022-01-25 08:00:00,27320,27440,27315,27440,40905
2022-01-25 09:00:00,27435,27460,27050,27090,215232
2022-01-25 10:00:00,27090,27175,26985,27045,176196
2022-01-25 11:00:00,27040,27140,26985,27120,97107
2022-01-25 12:00:00,27120,27155,27025,27040,72901
2022-01-25 13:00:00,27040,27100,26940,26970,118827
2022-01-25 14:00:00,26970,27110,26860,27090,155516
2022-01-25 15:00:00,27095,27150,27060,27060,40114
2022-01-25 16:00:00,27540,27545,27470,27490,25702
2022-01-25 17:00:00,27485,27555,27390,27395,57263
2022-01-25 18:00:00,27395,27435,27350,27400,57198
2022-01-25 19:00:00,27400,27400,27195,27260,73150
2022-01-25 20:00:00,27265,27345,27245,27315,58409
2022-01-25 21:00:00,27320,27330,27250,27255,40460
2022-01-25 22:00:00,27255,27265,27140,27145,64787
2022-01-25 23:00:00,27145,27230,27075,27095,131652
2022-01-26 00:00:00,26890,27090,26835,26990,137910
2022-01-26 01:00:00,26990,27055,26930,26960,74329
2022-01-26 02:00:00,26955,27035,26935,26975,44608
2022-01-26 03:00:00,26975,27220,26935,27210,48317
2022-01-26 04:00:00,27215,27340,27165,27335,37084
2022-01-26 05:00:00,27335,27340,27105,27135,33425
2022-01-26 06:00:00,27150,27150,27150,27150,1664
2022-01-26 08:00:00,27180,27195,27085,27105,28536
2022-01-26 09:00:00,27100,27170,26905,26920,152643
2022-01-26 10:00:00,26915,26980,26830,26975,119609
2022-01-26 11:00:00,26980,27035,26935,26945,63577
2022-01-26 12:00:00,26945,27085,26945,27070,59583
2022-01-26 13:00:00,27070,27120,27025,27055,58024
2022-01-26 14:00:00,27055,27060,26965,27005,68257
2022-01-26 15:00:00,27000,27030,26975,27010,19021
2022-01-26 16:00:00,26960,27105,26960,27095,38095
2022-01-26 17:00:00,27100,27135,26955,27045,99578
2022-01-26 18:00:00,27050,27175,27005,27155,62964
2022-01-26 19:00:00,27155,27195,27065,27080,49875
2022-01-26 20:00:00,27075,27135,27015,27040,45053
2022-01-26 21:00:00,27040,27055,26980,27010,35514
2022-01-26 22:00:00,27015,27025,26930,27005,48942
2022-01-26 23:00:00,27005,27120,26875,26890,120191
2022-01-27 00:00:00,27300,27330,27100,27150,85366
2022-01-27 01:00:00,27150,27225,27115,27195,47491
2022-01-27 02:00:00,27200,27275,27185,27255,18784
